name,red,green,blue,alpha,id
Unknown,0,0,0,255,255
dirt,108,64,20,255,0
sand,255,229,204,255,1
grass,0,102,0,255,2
tree,0,255,0,255,3
pole,0,153,153,255,4
water,0,128,255,255,5
sky,0,128,255,255,6
vehicle,255,255,0,255,7
container,255,0,127,255,8
asphalt,64,64,64,255,9
gravel,255,128,0,255,10
building,255,0,0,255,11
mulch,153,76,0,255,12
rock-bed,102,102,0,255,13
log,102,0,0,255,14
bicycle,0,255,128,255,15
person,204,153,255,255,16
fence,102,0,204,255,17
bush,255,153,204,255,18
sign,0,102,102,255,19
rock,153,204,255,255,20
bridge,102,255,255,255,21
concrete,101,101,11,255,22
table,114,85,47,255,23
