name,red,green,blue,alpha,id
Keurig_low,9,118,90,255,9
CoffeeMaker_low,9,118,90,255,9
Carafe_low,14,155,124,255,14
CardboardBox01,7,106,60,255,7
Kallax_Box5,7,106,60,255,7
Closet_Metal,7,106,60,255,7
Closet_Door_R,7,106,60,255,7
Closet_Door_L,7,106,60,255,7
W_3x,2,222,110,255,2
TableWooden_B,5,81,38,255,5
W_6x_Door,2,222,110,255,2
Soderhamn_Pillows2,8,179,10,255,8
Soderhamn_Pillows3,8,179,10,255,8
Soderhamn_Pillows5,8,179,10,255,8
Soderhamn_Pillows1,8,179,10,255,8
Soderhamn,8,179,10,255,8
Soderhamn_Pillows4,8,179,10,255,8
Soderhamn_Pillows6,8,179,10,255,8
Paper02,12,60,146,255,12
CeilingLamp_Embed,1,155,211,255,1
Alu_Chair,6,229,176,255,6
Door_Metal_Gray,4,218,221,255,4
Couch_Fabric_1seat,8,179,10,255,8
KitchenChair_Wooden,6,229,176,255,6
Books2,12,60,146,255,12
Books2_1,12,60,146,255,12
Books2_4,12,60,146,255,12
Hemnes_Shelf,7,106,60,255,7
Book_Set,12,60,146,255,12
Books,12,60,146,255,12
Books2_7,12,60,146,255,12
Book_3,12,60,146,255,12
Book_2,12,60,146,255,12
Book_1,12,60,146,255,12
Book_A,12,60,146,255,12
Book_C,12,60,146,255,12
FP_Vase_B,13,100,215,255,13
Dresser_A,7,106,60,255,7
Folder01,12,60,146,255,12
FolderHolder_WithFiles,7,106,60,255,7
Folder02,12,60,146,255,12
Door_Wooden_Black,4,218,221,255,4
W_1x,2,222,110,255,2
Paper,9,118,90,255,9
CorkBoard,2,222,110,255,2
Sticker01,9,118,90,255,9
Sticker03,9,118,90,255,9
Sticker02,9,118,90,255,9
TableScreen_C,5,81,38,255,5
W_6x,2,222,110,255,2
Phone,9,118,90,255,9
W_3x_Window_Large_A,2,222,110,255,2
TableSet_Coffe,9,118,90,255,9
Garage_Cardbox,7,106,60,255,7
Painting_Photo_C,2,222,110,255,2
Plant_InteriorHouse_Aglaonema,16,152,194,255,16
WhiteBoard_Walll,2,222,110,255,2
W_Pilar_Small,2,222,110,255,2
Pencil,9,118,90,255,9
File_Papers,9,118,90,255,9
LP_Magazine,12,60,146,255,12
Book_Magazine,12,60,146,255,12
KP_Coffee_Mug,14,155,124,255,14
Book_B,12,60,146,255,12
A_Newspaper,12,60,146,255,12
MetalCabinet,7,106,60,255,7
Door_L,7,106,60,255,7
Door_R,7,106,60,255,7
Drawer_B,7,106,60,255,7
Files_Drawer_Openable,7,106,60,255,7
Drawer_A,7,106,60,255,7
Picture6,9,118,90,255,9
Frame6,9,118,90,255,9
AirventilationGrid_A,1,155,211,255,1
Skogsta,5,81,38,255,5
W_3x_Door,2,222,110,255,2
SideTableDark_Large,7,106,60,255,7
Painting_Diploma,2,222,110,255,2
NightTable_Drawer,7,106,60,255,7
NightTable_Door_A,7,106,60,255,7
NightTable_Door_B,7,106,60,255,7
NightTable,7,106,60,255,7
Mac,9,118,90,255,9
PaperBag01,7,106,60,255,7
Plant_InteriorHouse_Yucca,16,152,194,255,16
TableWooden,5,81,38,255,5
Kallax_Box4,7,106,60,255,7
FileFolder,12,60,146,255,12
Lamp_Table,9,118,90,255,9
Painting_Pic,2,222,110,255,2
Stockholm_Bowl,15,40,184,255,15
Books2_3,12,60,146,255,12
Carpet_Bronden,0,171,143,255,0
D_TV_Wall,2,222,110,255,2
TableSet_WoodDish,15,40,184,255,15
Table_Flag,9,118,90,255,9
Bookshelf,12,60,146,255,12
Garage_PlasticBox,7,106,60,255,7
Vases3_4,13,100,215,255,13
KitchenChair_Fabric,6,229,176,255,6
Picture2,2,222,110,255,2
Frame2,2,222,110,255,2
Ypperlig_Table,5,81,38,255,5
Desk_Drawer,5,81,38,255,5
Desk,5,81,38,255,5
Mac_Keyboard,20,156,149,255,20
Plant_Inside_Large,16,152,194,255,16
Kallax_Box1,7,106,60,255,7
Board_Glass,9,118,90,255,9
Board_Low,2,222,110,255,2
Book_Open,12,60,146,255,12
Box_Black,7,106,60,255,7
MetalCabinet_GridDoors,7,106,60,255,7
Mac_Mouse,19,92,165,255,19
Painting_Photo_A,9,118,90,255,9
SideTable_Door_R,7,106,60,255,7
SideTable_Door_L,7,106,60,255,7
SideTable_Large,7,106,60,255,7
Graphics,9,118,90,255,9
